eval_id,eval_name,stage,tier,condition,routing_complete,n_required_refs,n_optional_refs,has_required_refs,required_ref_recall_old,required_ref_recall_new,required_ref_recall_delta,unexpected_ref_count_old,unexpected_ref_count_new,unexpected_ref_count_delta,n_required_scripts,n_optional_scripts,has_required_scripts,required_script_recall_old,required_script_recall_new,required_script_recall_delta,unexpected_script_count_old,unexpected_script_count_new,unexpected_script_count_delta
28,brain-region-for-curated-sorting,pipeline-usage,joins,with_skill,true,2,2,true,0.5,0.5,0.0,1,1,0,1,0,true,0.0,0.0,0.0,0,0,0
28,brain-region-for-curated-sorting,pipeline-usage,joins,without_skill,true,2,2,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
29,brain-region-for-lfp-electrode,pipeline-usage,joins,with_skill,true,2,1,true,0.5,0.5,0.0,1,1,0,1,0,true,1.0,0.0,-1.0,0,0,0
29,brain-region-for-lfp-electrode,pipeline-usage,joins,without_skill,true,2,1,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
41,config-key-error-after-pull,setup,config-troubleshooting,with_skill,true,1,0,true,0.0,1.0,1.0,3,2,-1,0,0,false,0.0,0.0,0.0,0,0,0
41,config-key-error-after-pull,setup,config-troubleshooting,without_skill,true,1,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
72,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,with_skill,true,2,0,true,0.5,0.5,0.0,1,1,0,1,0,true,1.0,1.0,0.0,0,0,0
72,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
85,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,with_skill,true,3,0,true,0.6667,0.6667,0.0,1,1,0,0,0,false,0.0,0.0,0.0,0,0,0
85,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,without_skill,true,3,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
87,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,with_skill,true,2,2,true,0.5,1.0,0.5,2,1,-1,0,0,false,0.0,0.0,0.0,0,1,1
87,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,without_skill,true,2,2,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
88,ambiguity-delete-decoding-results,destructive-operations,disambiguation,with_skill,true,2,0,true,0.5,0.5,0.0,2,2,0,0,0,false,0.0,0.0,0.0,0,0,0
88,ambiguity-delete-decoding-results,destructive-operations,disambiguation,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
89,restrict-by-interval-name-no-star,pipeline-usage,joins,with_skill,true,2,2,true,1.0,0.5,-0.5,1,1,0,1,0,true,0.0,0.0,0.0,0,0,0
89,restrict-by-interval-name-no-star,pipeline-usage,joins,without_skill,true,2,2,true,0.0,0.0,0.0,0,0,0,1,0,true,0.0,0.0,0.0,0,0,0
99,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,with_skill,true,2,0,true,0.5,1.0,0.5,3,1,-2,0,0,false,0.0,0.0,0.0,0,0,0
99,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
100,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,with_skill,true,2,0,true,0.5,1.0,0.5,1,2,1,0,0,false,0.0,0.0,0.0,0,0,0
100,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,without_skill,true,2,0,true,0.0,0.0,0.0,0,0,0,0,0,false,0.0,0.0,0.0,0,0,0
105,camera-devices-lookup,pipeline-usage,atomic-read,with_skill,true,2,0,true,0.5,0.5,0.0,2,1,-1,0,0,false,0.0,0.0,0.0,1,0,-1
