eval_id,batch,eval_name,stage,tier,difficulty,ws_expectation_rate,bs_expectation_rate
72,4,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,85.7,85.7
85,4,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,87.5,50.0
87,4,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,85.7,78.6
89,4,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,70.0,60.0
99,4,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,90.0,90.0
100,4,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,85.7,71.4
105,4,camera-devices-lookup,pipeline-usage,atomic-read,easy,88.9,88.9
108,4,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,58.3,50.0
60,5,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,83.3,83.3
8,7,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,66.7,58.3
41,7,config-key-error-after-pull,setup,config-troubleshooting,medium,14.3,42.9
83,7,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,77.8,66.7
88,7,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,87.5,50.0
