batch,eval_id,eval_name,stage,tier,difficulty,failure_type,notes
4,72,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,,
4,85,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,,
4,87,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,,
4,89,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,,
4,99,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,,
4,100,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,,
4,105,camera-devices-lookup,pipeline-usage,atomic-read,easy,,
4,106,compound-pfc-wtrack,pipeline-usage,compound,hard,,
4,108,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,,
5,60,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,,
5,118,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,,
7,8,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,,
7,24,adversarial-skip-cautious-delete,destructive-operations,adversarial,medium,,
7,41,config-key-error-after-pull,setup,config-troubleshooting,medium,,
7,83,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,,
7,88,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,,
7,112,adversarial-edit-dlcposv1,pipeline-authoring,adversarial,medium,,
7,113,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,,
7,114,adversarial-cross-corr-blob-column,pipeline-authoring,adversarial,hard,,
