category_kind,category,n_evals,ws_pass,bs_pass,delta_pp
stage,pipeline-usage,44,35,31,9.1
stage,runtime-debugging,21,21,20,4.8
stage,hallucination-resistance,11,11,8,27.3
stage,parameter-understanding,9,7,5,22.2
stage,framework-concepts,9,9,9,0.0
stage,setup,7,6,1,71.4
stage,pipeline-authoring,7,3,0,42.9
stage,common-mistakes,6,6,5,16.7
stage,destructive-operations,6,3,2,16.7
stage,ingestion,4,4,0,100.0
stage,table-understanding,4,4,1,75.0
stage,non-activation,2,2,1,50.0
tier,adversarial,17,13,8,29.4
tier,runtime-errors,10,10,10,0.0
tier,joins,9,8,6,22.2
tier,parameter-semantics,8,7,4,37.5
tier,disambiguation,8,6,5,12.5
tier,atomic-read,8,7,5,25.0
tier,schema-introspection,7,7,7,0.0
tier,baseline,7,6,4,28.6
tier,counterfactual,7,5,5,0.0
tier,table-classification,6,6,3,50.0
tier,dependency-tracing,6,4,4,0.0
tier,merge-table-gotchas,5,5,4,20.0
tier,table-usage,5,5,4,20.0
tier,compound,4,3,3,0.0
tier,environment-triage,4,4,2,50.0
tier,resource-selection,4,3,2,25.0
tier,merge-key-discovery,3,3,3,0.0
tier,workflow-position,3,2,2,0.0
tier,workflow-recovery,3,2,2,0.0
tier,post-ingest-validation,3,3,0,100.0
tier,config-troubleshooting,3,2,0,66.7
difficulty,medium,62,54,40,22.6
difficulty,easy,35,33,25,22.9
difficulty,hard,33,24,18,18.2
