eval_id,batch,eval_name,stage,tier,difficulty,outcome,ws_expectation_rate,bs_expectation_rate,delta_expectation_pp,routing_observed,extra_tokens_known,extra_tokens,missed_required_refs,missed_required_scripts,likely_action
106,4,compound-pfc-wtrack,pipeline-usage,compound,hard,baseline_only,93.3,100.0,-6.7,1,1,16514,datajoint_api.md,,investigate_regression
118,5,counterfactual-decoding-bin-size,parameter-understanding,counterfactual,hard,baseline_only,71.4,100.0,-28.6,1,1,47397,destructive_operations.md,,investigate_regression
89,4,restrict-by-interval-name-no-star,pipeline-usage,joins,medium,both_fail,70.0,60.0,10.0,1,1,18101,,code_graph.py,fix_script_routing
108,4,sorted-spikes-group-hippocampal,pipeline-usage,disambiguation,medium,both_fail,58.3,50.0,8.3,1,1,14184,common_tables.md,code_graph.py,fix_script_routing
72,4,dep-trace-lfpbandv1,pipeline-usage,dependency-tracing,hard,both_fail,85.7,85.7,0.0,1,1,21860,feedback_loops.md,,fix_reference_routing
85,4,recover-parameter-edit-in-place,pipeline-usage,workflow-recovery,hard,both_fail,87.5,50.0,37.5,1,1,22161,common_mistakes.md,,fix_reference_routing
87,4,counterfactual-trodes-pos-params-swap,pipeline-usage,counterfactual,hard,both_fail,85.7,78.6,7.1,1,1,14760,destructive_operations.md,,fix_reference_routing
99,4,hidden-prereq-decoding-populate,pipeline-usage,dependency-tracing,hard,both_fail,90.0,90.0,0.0,1,1,30816,runtime_debugging.md,,fix_reference_routing
100,4,workflow-position-post-sort-clusterless-decode,pipeline-usage,workflow-position,medium,both_fail,85.7,71.4,14.3,1,1,14525,spikesorting_v1_pipeline.md,,fix_reference_routing
105,4,camera-devices-lookup,pipeline-usage,atomic-read,easy,both_fail,88.9,88.9,0.0,1,1,23123,position_pipeline.md,,fix_reference_routing
41,7,config-key-error-after-pull,setup,config-troubleshooting,medium,both_fail,14.3,42.9,-28.6,1,1,31186,setup_troubleshooting.md,,fix_reference_routing
88,7,ambiguity-delete-decoding-results,destructive-operations,disambiguation,medium,both_fail,87.5,50.0,37.5,1,1,50684,merge_methods.md,,fix_reference_routing
114,7,adversarial-cross-corr-blob-column,pipeline-authoring,adversarial,hard,both_fail,90.9,72.7,18.2,1,1,19101,export.md;group_tables.md,,fix_reference_routing
60,5,param-trodes-smoothing,parameter-understanding,parameter-semantics,hard,both_fail,83.3,83.3,0.0,1,1,33315,,,fix_template_or_reference_content
8,7,author-custom-pipeline-off-lfp,pipeline-authoring,baseline,hard,both_fail,66.7,58.3,8.3,1,1,13329,,,fix_template_or_reference_content
24,7,adversarial-skip-cautious-delete,destructive-operations,adversarial,medium,both_fail,83.3,83.3,0.0,1,1,15557,,,fix_template_or_reference_content
83,7,resource-first-ref-custom-pipeline-author,pipeline-authoring,resource-selection,easy,both_fail,77.8,66.7,11.1,1,1,6,,,fix_template_or_reference_content
112,7,adversarial-edit-dlcposv1,pipeline-authoring,adversarial,medium,both_fail,62.5,62.5,0.0,1,1,20018,,,fix_template_or_reference_content
113,7,adversarial-update1-downstream-populated,destructive-operations,adversarial,medium,both_fail,75.0,66.7,8.3,1,1,20515,,,fix_template_or_reference_content
15,1,merge-key-lfp-default,pipeline-usage,merge-key-discovery,medium,both_pass,100.0,100.0,0.0,1,1,22839,,,expensive_both_pass
35,1,merge-empty-list-ambiguity,runtime-debugging,merge-table-gotchas,medium,both_pass,100.0,100.0,0.0,1,1,20035,position_pipeline.md,,expensive_both_pass
5,2,merge-delete-classmethod-discard,common-mistakes,baseline,medium,both_pass,100.0,100.0,0.0,1,1,29876,,,expensive_both_pass
25,2,adversarial-too-loose-fetch1-pressure,common-mistakes,adversarial,medium,both_pass,100.0,100.0,0.0,1,1,27537,,,expensive_both_pass
30,2,adversarial-copy-paste-params-blind,common-mistakes,parameter-semantics,medium,both_pass,100.0,100.0,0.0,1,1,24796,common_mistakes.md,,expensive_both_pass
71,3,dep-trace-decoding-output,pipeline-usage,dependency-tracing,hard,both_pass,100.0,100.0,0.0,1,1,36468,position_pipeline.md;spikesorting_v1_pipeline.md,,expensive_both_pass
117,5,counterfactual-sort-interval-change,parameter-understanding,counterfactual,hard,both_pass,100.0,100.0,0.0,1,1,26360,destructive_operations.md,,expensive_both_pass
3,6,fetch1-cardinality-error,runtime-debugging,baseline,easy,both_pass,100.0,100.0,0.0,1,1,31447,datajoint_api.md,,expensive_both_pass
4,6,populate-fails-halfway-through,runtime-debugging,baseline,hard,both_pass,100.0,100.0,0.0,1,1,26047,,,expensive_both_pass
27,6,compound-decoding-populate-fail-triage,runtime-debugging,compound,hard,both_pass,100.0,100.0,0.0,1,1,37945,,,expensive_both_pass
31,6,env-spikeinterface-drift,runtime-debugging,environment-triage,medium,both_pass,100.0,100.0,0.0,1,1,21728,,,expensive_both_pass
36,6,runtime-populate-non-pk-dict,runtime-debugging,runtime-errors,easy,both_pass,100.0,100.0,0.0,1,1,21839,,,expensive_both_pass
38,6,runtime-decoding-oom,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,21168,,,expensive_both_pass
43,6,runtime-fk-ancestor-missing,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,25335,,,expensive_both_pass
86,6,counterfactual-decoding-noise-divergence,runtime-debugging,counterfactual,hard,both_pass,100.0,100.0,0.0,1,1,21104,,,expensive_both_pass
119,6,permission-error-analysis-nwbfile-write,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,21809,,,expensive_both_pass
120,6,slow-fetch-db-lock,runtime-debugging,runtime-errors,medium,both_pass,100.0,100.0,0.0,1,1,25913,spyglassmixin_methods.md,,expensive_both_pass
54,7,classify-trodesposparams-vs-selection,table-understanding,table-classification,medium,both_pass,100.0,100.0,0.0,1,1,32215,,,expensive_both_pass
14,1,merge-key-trodes-position,pipeline-usage,merge-key-discovery,medium,both_pass,100.0,100.0,0.0,1,1,14399,position_pipeline.md,,
16,1,merge-key-decoding-clusterless,pipeline-usage,merge-key-discovery,medium,both_pass,100.0,100.0,0.0,1,1,8752,merge_methods.md,,
49,1,merge-silent-wrong-count,runtime-debugging,merge-table-gotchas,medium,both_pass,100.0,100.0,0.0,1,1,11398,,,
50,1,merge-method-misattribution,common-mistakes,merge-table-gotchas,easy,both_pass,100.0,100.0,0.0,1,1,13334,,,
51,1,is-this-a-merge-lookalike,common-mistakes,merge-table-gotchas,easy,both_pass,100.0,100.0,0.0,1,0,0,,,
